Time (s),Channel 2 (V),Channel 1 (V)
-0.00020288,3.17724245,2.778407308
-0.00020256,3.174632366,3.274085991
-0.00020224,3.172496843,3.273690524
-0.00020192,3.168858544,3.265702085
-0.0002016,3.165615712,3.256131777
-0.00020128,3.162531068,3.255182656
-0.00020096,3.159288236,3.258425487
-0.00020064,3.156203591,3.263645655
-0.00020032,3.153277133,3.270368599
-0.0002,3.149164274,3.27954344
-0.00019968,3.145605068,3.288401907
-0.00019936,3.142045863,3.296469439
-0.00019904,3.138407564,3.304220598
-0.00019872,3.135006545,3.3102317
-0.0001984,3.131368246,3.316005523
-0.00019808,3.127967228,3.320434756
-0.00019776,3.124091648,3.323914868
-0.00019744,3.12069063,3.326762232
-0.00019712,3.117289611,3.32921413
-0.0001968,3.114125873,3.330479625
-0.00019648,3.1101712,3.331982401
-0.00019616,3.10787749,3.33356427
-0.00019584,3.104555565,3.333880643
-0.00019552,3.102024574,3.334750671
-0.0001952,3.09917721,3.336016167
-0.00019488,3.0968835,3.337598036
-0.00019456,3.094194322,3.338863531
-0.00019424,3.091742425,3.340129026
-0.00019392,3.089685995,3.342106363
-0.0001936,3.087945939,3.343134578
-0.00019328,3.085652229,3.343609138
-0.00019296,3.085256762,3.345032821
-0.00019264,3.083753986,3.346140129
-0.00019232,3.082804865,3.347247437
-0.000192,3.081697557,3.348275652
-0.00019168,3.081618463,3.349066587
-0.00019136,3.081618463,3.349382961
-0.00019104,3.08153937,3.35096483
-0.00019072,3.08201393,3.351676671
-0.0001904,3.081934837,3.352388512
-0.00019008,3.082804865,3.353812194
-0.00018976,3.083358519,3.354603129
-0.00018944,3.084624014,3.354603129
-0.00018912,3.085335855,3.354840409
-0.0001888,3.085177669,3.355710437
-0.00018848,3.086917725,3.35578953
-0.00018816,3.087629566,3.356264091
-0.00018784,3.087708659,3.355947717
-0.00018752,3.088025033,3.356975932
-0.0001872,3.090002369,3.358004147
-0.00018688,3.090793304,3.358162334
-0.00018656,3.091900612,3.357766867
-0.00018624,3.093482481,3.358004147
-0.00018592,3.093798855,3.357925054
-0.0001856,3.094273416,3.35784596
-0.00018528,3.095697098,3.357134119
-0.00018496,3.097041687,3.356738652
-0.00018464,3.098228089,3.356501372
-0.00018432,3.099019023,3.356264091
-0.000184,3.100205425,3.357055026
-0.00018368,3.101312733,3.357213213
-0.00018336,3.102420042,3.357134119
-0.00018304,3.103210976,3.357292306
-0.00018272,3.103764631,3.356501372
-0.0001824,3.104160098,3.35531497
-0.00018208,3.104476472,3.354761316
-0.00018176,3.105900154,3.354286755
-0.00018144,3.106374715,3.354998596
-0.00018112,3.106691088,3.354365848
-0.0001808,3.107244743,3.353891288
-0.00018048,3.108431144,3.352388512
-0.00018016,3.108905705,3.352072138
-0.00017984,3.109538453,3.351834858
-0.00017952,3.109775733,3.351834858
-0.0001792,3.109380266,3.351360297
-0.00017888,3.109459359,3.351123017
-0.00017856,3.110092107,3.350411176
-0.00017824,3.111120322,3.349857521
-0.00017792,3.110408481,3.349699334
-0.0001776,3.109854827,3.349541148
-0.00017728,3.108984799,3.349382961
-0.00017696,3.10787749,3.348987493
-0.00017664,3.107007462,3.348196559
-0.00017632,3.106770182,3.346931064
-0.000176,3.105900154,3.346535596
-0.00017568,3.105188313,3.345981942
-0.00017536,3.104397378,3.345586475
-0.00017504,3.104081004,3.345111914
-0.00017472,3.103448257,3.345111914
-0.0001744,3.101391827,3.345111914
-0.00017408,3.100917266,3.344874634
-0.00017376,3.09893993,3.343846419
-0.00017344,3.097278967,3.343371858
-0.00017312,3.095934378,3.34273911
-0.0001728,3.09506435,3.342818204
-0.00017248,3.093482481,3.342660017
-0.00017216,3.09229608,3.343134578
-0.00017184,3.091030584,3.342660017
-0.00017152,3.089369622,3.341710895
-0.0001712,3.087629566,3.341315428
-0.00017088,3.086284977,3.340999054
-0.00017056,3.085098575,3.34020812
-0.00017024,3.083200332,3.340129026
-0.00016992,3.081618463,3.339891746
-0.0001696,3.080115687,3.339338092
-0.00016928,3.079245659,3.338547157
-0.00016896,3.077821977,3.337677129
-0.00016864,3.076951949,3.337598036
-0.00016832,3.076319202,3.337518942
-0.000168,3.076081921,3.337598036
-0.00016768,3.074341865,3.337202569
-0.00016736,3.071652688,3.337281662
-0.00016704,3.070387192,3.336569821
-0.00016672,3.069754445,3.336332541
-0.0001664,3.068409856,3.336253447
-0.00016608,3.067935295,3.346456503
-0.00016576,3.067144361,3.37524652
-0.00016544,3.066195239,3.378963913
-0.00016512,3.065404305,3.384895922
-0.0001648,3.064534277,3.394940791
-0.00016448,3.063031501,3.39905365
